student,company,name,address,zipcode,city,postal_code,country_code,place_name,state_name,state_code,county_name,county_code,latitude,longitude
Jason Brown,Dynatest A/S,A/S DYNATEST ENGINEERING,Generatorvej 21,2730,Herlev,2730,DK,Herlev,Capital Region,17,Herlev Kommune,163,55.7338,12.4278
Jacob Stein,"Eriksholm Research Centre, Oticon",PROPOLIS RESEARCH CENTRE A/S,Lille Veksøvej 11,3670,Veksø Sjælland,3670,DK,Veksø Sjælland,Capital Region,17,Egedal Kommune,240,55.7576,12.2386
Cody Brown,Formpipe,FORMPIPE LASERNET A/S,Lautrupvang 1,2750,Ballerup,2750,DK,Ballerup,Capital Region,17,Ballerup Kommune,151,55.7333,12.3566
Larry Morales,Formpipe,FORMPIPE LASERNET A/S,Lautrupvang 1,2750,Ballerup,2750,DK,Ballerup,Capital Region,17,Ballerup Kommune,151,55.7333,12.3566
Jessica Hendricks,Formpipe,FORMPIPE LASERNET A/S,Lautrupvang 1,2750,Ballerup,2750,DK,Ballerup,Capital Region,17,Ballerup Kommune,151,55.7333,12.3566
Brian Moore,Novo Nordisk,NOVO NORDISK A/S,Novo Alle 1,2880,Bagsværd,2880,DK,Bagsværd,Capital Region,17,Gladsaxe Municipality,159,55.7571,12.4558
Scott Baker,PFA,PFA BANK A/S,Sundkrogsgade 4,2100,København Ø,2100,DK,København Ø,Capital Region,17,Copenhagen,101,55.7072,12.572
Ruth Hoffman,Topdanmark,TOPDANMARK A/S,Borupvang 4,2750,Ballerup,2750,DK,Ballerup,Capital Region,17,Ballerup Kommune,151,55.7333,12.3566
Daniel George,KMD A/S,KMD A/S,Lautrupparken 40,2750,Ballerup,2750,DK,Ballerup,Capital Region,17,Ballerup Kommune,151,55.7333,12.3566
David Moody,KMD A/S,KMD A/S,Lautrupparken 40,2750,Ballerup,2750,DK,Ballerup,Capital Region,17,Ballerup Kommune,151,55.7333,12.3566
Brian Maxwell,KMD A/S,KMD A/S,Lautrupparken 40,2750,Ballerup,2750,DK,Ballerup,Capital Region,17,Ballerup Kommune,151,55.7333,12.3566
Cory Cooper,NorthTech ApS,NORTHTECH ApS,"Wildersgade 51, 1",1408,København K,1408,DK,København K,Capital Region,17,Copenhagen,101,55.6733,12.5903
Morgan Foster,Alpha Solutions,ALPHA SOLUTIONS A/S,"Gothersgade 14, 4",1123,København K,1123,DK,København K,Capital Region,17,Copenhagen,101,55.6835,12.5776
James Sandoval,Alpha Solutions,ALPHA SOLUTIONS A/S,"Gothersgade 14, 4",1123,København K,1123,DK,København K,Capital Region,17,Copenhagen,101,55.6835,12.5776
Brian Lester,Dafolo,DAFOLO A/S,Suderbovej 22-24,9900,Frederikshavn,9900,DK,Frederikshavn,North Denmark,19,Frederikshavn Kommune,813,57.4404,10.5041
Anne Davis,Dafolo,DAFOLO A/S,Suderbovej 22-24,9900,Frederikshavn,9900,DK,Frederikshavn,North Denmark,19,Frederikshavn Kommune,813,57.4404,10.5041
Miss Amanda Harris MD,Nuuday A/S,Nuuday A/S,Teglholmsgade 1,2450,København SV,2450,DK,København SV,Capital Region,17,Copenhagen,101,55.6484,12.5359
Amy Dunn,Nuuday A/S,Nuuday A/S,Teglholmsgade 1,2450,København SV,2450,DK,København SV,Capital Region,17,Copenhagen,101,55.6484,12.5359
Brian Lee,Netcompany A/S,Netcompany A/S,"Grønningen 17, 1",1270,København K,1270,DK,København K,Capital Region,17,Copenhagen,101,55.689,12.591
,,FARM COMPANY A/S,Ravnholtgyden 5,6600,Vejen,6600,DK,Vejen,South Denmark,21,Vejen Kommune,575,55.4789,9.1389
